,,,,,,,,,,
,Pais,ClaveTerritorio,ingresos,costos,CostoCampanas,BeneficioBruto,Margen_pct,ROI_pct,,INSIGHT C F I
,United States,1,"$3,353,939.92","$1,899,471.33","$1,920,000.00","$1,454,468.60",43.37%,75.75%,,Contexto:
,Australia,9,"$2,532,003.49","$1,474,958.18","$2,150,400.00","$1,057,045.31",41.75%,49.16%,,"Analizamos la rentabilidad por país cruzando ingresos, costos de producto y gastos de marketing. El objetivo es saber cuánto ganamos realmente después de producir y anunciar nuestros productos."
,United Kingdom,10,"$1,189,636.78","$681,508.55","$2,304,000.00","$508,128.24",42.71%,22.05%,,
,Germany,8,"$1,071,460.42","$611,295.36","$2,265,600.00","$460,165.06",42.95%,20.31%,,Hallazgos
,France,7,"$924,316.93","$527,797.14","$2,208,000.00","$396,519.79",42.9%,17.96%,,1) EE. UU. es el que lidera: Tiene los mayores ingresos ($3.35M) y el mejor ROI (75.75%). Es donde el dinero rinde más.
,Canada,6,"$710,205.18","$392,325.91","$1,824,000.00","$317,879.27",44.76%,17.43%,,
,,,,,,,,,,"2) La contradicción de Canadá: Es un caso curioso. Ganamos mucho dinero por cada producto vendido (margen del 44%), pero nos sale carísimo convencer a la gente de comprar. La ganancia se nos va pagando anuncios."
,¿Cuál es la diferencia entre Margen y ROI?,,,,,,,,,
,1) Diferencia Margen vs ROI: El Margen dice qué tan rentable es el producto solo (Precio - Costo); el ROI dice qué tan rentable es tu publicidad (Ganancia / Inversión Marketing).,,,,,,,,,"3) Europa gasta demasiado: UK, Alemania y Francia tienen la publicidad más cara (más de $2.2M), pero sus ventas no justifican semejante gasto (ROI bajo del 18-22%)."
,¿Por qué el ROI en Estados Unidos es tan alto comparado con otros países?,,,,,,,,,
,"1) Éxito de EE. UU.: Probablemente por un mercado más maduro o una marca más fuerte, lo que permite vender mucho más gastando menos en anuncios que en Europa.",,,,,,,,,Implicación
,"Si aumentáramos el gasto de campañas en un 50%, ¿qué pasaría con el ROI?",,,,,,,,,1) Mover el presupuesto: Quitar dinero de las campañas de Europa y pasarlo a EE. UU. para maximizar ganancias.
,"1) Aumento del 50% en gasto: El ROI bajaría. Es la ley de rendimientos decrecientes: llega un punto en que gastar más no atrae clientes nuevos a la misma velocidad, haciendo la publicidad menos eficiente.",,,,,,,,,
,,,,,,,,,,"2) Auditar Canadá: Investigar por qué el marketing falla allá, ya que el producto tiene un margen excelente que estamos desperdiciando."
